day,type,fact,source_link
227,feature,"Heavyweight: “Two meanings of distribution” (1050 words, Dec 21, 2015).",https://www.johndcook.com/blog/2015/12/21/distributions/
228,feature,"Heavyweight: “Lobatto integration” (1045 words, Feb 15, 2020).",https://www.johndcook.com/blog/2020/02/15/gauss-lobatto-quadrature/
229,feature,"Heavyweight: “The Soviet license plate game and Kolmogorov complexity” (1043 words, Feb 02, 2019).",https://www.johndcook.com/blog/2019/02/02/landau-kolmogorov/
230,feature,"Heavyweight: “Literate programming: presenting code in human order” (1041 words, Jul 06, 2016).",https://www.johndcook.com/blog/2016/07/06/literate-programming-presenting-code-in-human-order/
231,feature,"Heavyweight: “Using cryptography broken 50 years ago” (1029 words, Aug 19, 2021).",https://www.johndcook.com/blog/2021/08/19/vigenere/
232,feature,"Heavyweight: “Non-associative multiplication” (1028 words, Feb 01, 2022).",https://www.johndcook.com/blog/2022/02/01/non-associative/
233,feature,"Heavyweight: “Dan Bricklin interview” (1028 words, Jun 22, 2009).",https://www.johndcook.com/blog/2009/06/22/dan-bricklin-interview/
234,feature,"Heavyweight: “Hashing names does not protect privacy” (1025 words, Jul 20, 2019).",https://www.johndcook.com/blog/2019/07/20/hashing-pii-does-not-protect-privacy/
235,feature,"Heavyweight: “Three applications of Euler&#8217;s theorem” (1020 words, Sep 23, 2018).",https://www.johndcook.com/blog/2018/09/23/eulers-theorem/
236,feature,"Heavyweight: “Public key encryption based on squares and non squares” (1017 words, Mar 06, 2019).",https://www.johndcook.com/blog/2019/03/06/goldwasser-micali/
237,feature,"Heavyweight: “Runge-Kutta methods and Butcher tableau” (1010 words, Feb 13, 2020).",https://www.johndcook.com/blog/2020/02/13/runge-kutta-methods/
238,feature,"Heavyweight: “Operator calculus” (1007 words, Oct 12, 2022).",https://www.johndcook.com/blog/2022/10/12/operational-calculus/
239,feature,"Heavyweight: “Double roots and ODEs” (1006 words, Jun 13, 2022).",https://www.johndcook.com/blog/2022/06/13/double-roots-and-odes/
240,feature,"Heavyweight: “Computing SVD and pseudoinverse” (1000 words, May 05, 2018).",https://www.johndcook.com/blog/2018/05/05/svd/
241,feature,"Heavyweight: “Stacking positive and negative cannonballs” (999 words, May 30, 2025).",https://www.johndcook.com/blog/2025/05/30/stacking-cannonballs/
242,feature,"Heavyweight: “Efficiently testing a black box” (997 words, Oct 10, 2022).",https://www.johndcook.com/blog/2022/10/10/fractional-factorial/
243,feature,"Heavyweight: “Notes on computing hash functions” (996 words, Jul 01, 2019).",https://www.johndcook.com/blog/2019/07/01/notes-on-computing-hash-functions/
244,feature,"Heavyweight: “Rate of natural cubic spline convergence” (992 words, Jul 12, 2021).",https://www.johndcook.com/blog/2021/07/12/spline-convergence-rate/
245,feature,"Heavyweight: “Getting some (algorithmic) SAT-isfaction” (986 words, Jun 25, 2024).",https://www.johndcook.com/blog/2024/06/25/getting-some-algorithmic-sat-isfaction/
246,feature,"Heavyweight: “Playfair cipher” (983 words, Feb 27, 2023).",https://www.johndcook.com/blog/2023/02/27/playfair-cipher/
247,feature,"Heavyweight: “Partitions and Pentagons” (983 words, Nov 10, 2021).",https://www.johndcook.com/blog/2021/11/10/partitions-and-pentagons/
248,feature,"Heavyweight: “Tridiagonal systems, determinants, and natural cubic splines” (983 words, Apr 30, 2018).",https://www.johndcook.com/blog/2018/04/30/tridiagonal-systems/
249,feature,"Heavyweight: “John Conway&#8217;s mental factoring method and friends” (980 words, Mar 03, 2023).",https://www.johndcook.com/blog/2023/03/03/conway-factoring/
250,feature,"Heavyweight: “Nicholas Higham on Mathematics in Color” (977 words, Sep 15, 2015).",https://www.johndcook.com/blog/2015/09/15/nicholas-higham-on-mathematics-in-color/
251,feature,"Heavyweight: “Computing functions of roots without computing roots” (975 words, Apr 04, 2022).",https://www.johndcook.com/blog/2022/04/04/vieta/
252,feature,"Heavyweight: “Converting between quaternions and rotation matrices” (973 words, May 07, 2025).",https://www.johndcook.com/blog/2025/05/07/quaternions-and-rotation-matrices/
253,feature,"Heavyweight: “Probability of secure hash collisions” (972 words, Jan 10, 2017).",https://www.johndcook.com/blog/2017/01/10/probability-of-secure-hash-collisions/
254,feature,"Heavyweight: “Career advice regarding tools” (970 words, Nov 21, 2011).",https://www.johndcook.com/blog/2011/11/21/career-advice-regarding-tools/
255,feature,"Heavyweight: “Approximate minimal bounding sphere” (965 words, Aug 08, 2021).",https://www.johndcook.com/blog/2021/08/08/bounding-sphere/
256,feature,"Heavyweight: “Morse code and the limits of human perception” (963 words, Apr 23, 2025).",https://www.johndcook.com/blog/2025/04/23/qrq/
257,feature,"Heavyweight: “Galois connections and Galois theory” (963 words, Jul 24, 2022).",https://www.johndcook.com/blog/2022/07/24/galois/
258,feature,"Heavyweight: “Swish, mish, and serf” (962 words, Aug 06, 2023).",https://www.johndcook.com/blog/2023/08/06/swish-mish-and-serf/
259,feature,"Heavyweight: “Inverse Gray code” (959 words, Sep 08, 2020).",https://www.johndcook.com/blog/2020/09/08/inverse-gray-code/
260,feature,"Heavyweight: “Fourier-Bessel series and Gibbs phenomena” (955 words, Nov 04, 2017).",https://www.johndcook.com/blog/2017/11/04/fourier-bessel-series-and-gibbs-phenomena/
261,feature,"Heavyweight: “Large language models and mnemonics” (950 words, Jul 14, 2023).",https://www.johndcook.com/blog/2023/07/14/major-llm/
262,feature,"Heavyweight: “Calling C++ from R” (950 words, Jun 30, 2011).",https://www.johndcook.com/blog/2011/06/30/calling-cpp-from-r/
263,feature,"Heavyweight: “Why and how Bitcoin uses Merkle trees” (949 words, Oct 28, 2025).",https://www.johndcook.com/blog/2025/10/28/bitcoin-merkle-trees/
264,feature,"Heavyweight: “Attribution based on tail probabilities” (949 words, Jul 17, 2018).",https://www.johndcook.com/blog/2018/07/17/attribution/
265,feature,"Heavyweight: “Branch cuts and Common Lisp” (949 words, Dec 17, 2016).",https://www.johndcook.com/blog/2016/12/17/branch-cuts-and-common-lisp/
266,feature,"Heavyweight: “Probability distributions and object oriented programming” (947 words, Jan 23, 2009).",https://www.johndcook.com/blog/2009/01/23/probability-distributions-and-object-oriented-programming/
267,feature,"Heavyweight: “ASCII art diagrams in Emacs org-mode” (944 words, Jun 15, 2016).",https://www.johndcook.com/blog/2016/06/15/ascii-art-diagrams-in-emacs-org-mode/
268,feature,"Heavyweight: “Cracking pass codes with De Bruijn sequences” (939 words, Oct 22, 2019).",https://www.johndcook.com/blog/2019/10/22/hacking-with-de-bruijn/
269,feature,"Heavyweight: “The impossible puzzle” (938 words, Nov 04, 2024).",https://www.johndcook.com/blog/2024/11/04/the-impossible-puzzle/
270,feature,"Heavyweight: “RSA with Pseudoprimes” (938 words, Dec 13, 2018).",https://www.johndcook.com/blog/2018/12/13/rsa-with-pseudoprimes/
271,feature,"Heavyweight: “Choosing a Computer Language for a Project” (937 words, Apr 23, 2024).",https://www.johndcook.com/blog/2024/04/23/choosing-a-computer-language-for-a-project/
272,feature,"Heavyweight: “How to make a Smith chart” (934 words, Oct 23, 2025).",https://www.johndcook.com/blog/2025/10/23/smith-chart/
273,feature,"Heavyweight: “A closer look at zero spacing” (930 words, Feb 04, 2022).",https://www.johndcook.com/blog/2022/02/04/zero-spacing/
274,feature,"Heavyweight: “Generating De Bruijn cycles with primitive polynomials” (930 words, Oct 28, 2019).",https://www.johndcook.com/blog/2019/10/28/generating-de-bruijn/
275,feature,"Heavyweight: “News regarding ABC conjecture and Riemann Hypothesis” (929 words, Sep 20, 2018).",https://www.johndcook.com/blog/2018/09/20/abc-conjecture-riemann-hypothesis/
276,feature,"Heavyweight: “Clearing up the confusion around Jacobi functions” (928 words, Oct 12, 2018).",https://www.johndcook.com/blog/2018/10/12/jacobi-function-nomenclature/
277,feature,"Heavyweight: “Pratt Primality Certificates” (927 words, Jan 03, 2023).",https://www.johndcook.com/blog/2023/01/03/pratt-certificate/
278,feature,"Heavyweight: “How many possible Unicode characters there are and why” (927 words, Sep 02, 2019).",https://www.johndcook.com/blog/2019/09/02/number-of-possible-unicode-characters/
279,feature,"Heavyweight: “Power laws and the generalized CLT” (926 words, Aug 19, 2009).",https://www.johndcook.com/blog/2009/08/19/generalized-central-limit-theorem/
280,feature,"Heavyweight: “Practical continuity” (925 words, Aug 01, 2016).",https://www.johndcook.com/blog/2016/08/01/practical-continuity/
281,feature,"Heavyweight: “Multi-arm adaptively randomized clinical trials” (924 words, Dec 21, 2018).",https://www.johndcook.com/blog/2018/12/21/multi-arm/
282,feature,"Heavyweight: “Random samples from a tetrahedron” (923 words, Oct 11, 2025).",https://www.johndcook.com/blog/2025/10/11/random-samples-from-a-tetrahedron/
283,feature,"Heavyweight: “Normal and non-normal subgroups” (923 words, Sep 26, 2023).",https://www.johndcook.com/blog/2023/09/26/normal-and-non-normal-subgroups/
284,feature,"Heavyweight: “Mean anomaly, true anomaly, and eccentric anomaly” (923 words, Oct 22, 2022).",https://www.johndcook.com/blog/2022/10/22/orbital-anomalies/
285,feature,"Heavyweight: “Expected length of longest common DNA substrings” (921 words, Apr 18, 2020).",https://www.johndcook.com/blog/2020/04/18/expected-length-of-longest-common-dna-substrings/
286,feature,"Heavyweight: “Stone-Weierstrass on a disk” (921 words, Aug 22, 2019).",https://www.johndcook.com/blog/2019/08/22/stone-weierstrass-on-a-disk/
287,feature,"Heavyweight: “Factoring Stencils” (917 words, Aug 17, 2025).",https://www.johndcook.com/blog/2025/08/17/factoring-stencils/
288,feature,"Heavyweight: “Redundant Residue Number Systems” (915 words, Dec 05, 2020).",https://www.johndcook.com/blog/2020/12/05/rrns/
289,feature,"Heavyweight: “MDS codes” (912 words, Mar 07, 2020).",https://www.johndcook.com/blog/2020/03/07/mds-codes/
290,feature,"Heavyweight: “Solar Day vs Sidereal Day” (911 words, Dec 25, 2022).",https://www.johndcook.com/blog/2022/12/25/solar-vs-sidereal/
291,feature,"Heavyweight: “Modal axioms and rules for interplanetary travel” (908 words, Jan 22, 2022).",https://www.johndcook.com/blog/2022/01/22/modal-axiom-cube/
292,feature,"Heavyweight: “Using Python as a statistical calculator” (907 words, Oct 15, 2022).",https://www.johndcook.com/blog/2022/10/15/python-as-stat-calculator/
293,feature,"Heavyweight: “Sine of a googol” (905 words, Dec 05, 2018).",https://www.johndcook.com/blog/2018/12/05/sine-of-a-googol/
294,feature,"Heavyweight: “The permutation symbol” (903 words, Sep 16, 2018).",https://www.johndcook.com/blog/2018/09/16/permutation-tensor/
295,feature,"Heavyweight: “The Dirac comb or Sha function” (901 words, Dec 22, 2015).",https://www.johndcook.com/blog/2015/12/22/the-dirac-comb-or-sha-function/
296,feature,"Heavyweight: “Munging CSV files with standard Unix tools” (900 words, Aug 30, 2019).",https://www.johndcook.com/blog/2019/08/30/cut-sort-awk/
297,feature,"Heavyweight: “Perfectly nonlinear functions” (899 words, Oct 09, 2020).",https://www.johndcook.com/blog/2020/10/09/perfectly-nonlinear-functions/
298,feature,"Heavyweight: “Distribution of quadratic residues” (898 words, Jul 12, 2019).",https://www.johndcook.com/blog/2019/07/12/distribution-of-quadratic-residues/
299,feature,"Heavyweight: “Is Low Precision Arithmetic Safe?” (897 words, Feb 06, 2024).",https://www.johndcook.com/blog/2024/02/06/is-low-precision-arithmetic-safe/
300,feature,"Heavyweight: “The quadratic formula and low-precision arithmetic” (897 words, Apr 28, 2018).",https://www.johndcook.com/blog/2018/04/28/quadratic-formula/
301,feature,"Heavyweight: “Canonical examples from robust statistics” (897 words, Mar 11, 2009).",https://www.johndcook.com/blog/2009/03/11/robust-statistics/
302,feature,"Heavyweight: “Luhn checksum algorithm” (896 words, Apr 18, 2023).",https://www.johndcook.com/blog/2023/04/18/luhn-checksum/
303,feature,"Heavyweight: “Passwords and power laws” (896 words, Sep 25, 2018).",https://www.johndcook.com/blog/2018/09/25/passwords-and-power-laws/
304,feature,"Heavyweight: “How blocks are chained in a blockchain” (895 words, Oct 27, 2025).",https://www.johndcook.com/blog/2025/10/27/blockchain/
305,feature,"Heavyweight: “Computing the nth digit of π directly” (895 words, Mar 14, 2025).",https://www.johndcook.com/blog/2025/03/14/bbp/
306,feature,"Heavyweight: “Searching Greek and Hebrew with regular expressions” (895 words, Sep 20, 2020).",https://www.johndcook.com/blog/2020/09/20/unicode-regex/
307,feature,"Heavyweight: “The hard part in becoming a command line wizard” (894 words, Feb 18, 2019).",https://www.johndcook.com/blog/2019/02/18/command-line-wizard/
308,feature,"Heavyweight: “Testing RNGs with PractRand” (894 words, Aug 14, 2017).",https://www.johndcook.com/blog/2017/08/14/testing-rngs-with-practrand/
309,feature,"Heavyweight: “Natural one-liners” (893 words, Feb 22, 2024).",https://www.johndcook.com/blog/2024/02/22/natural-one-liners/
310,feature,"Heavyweight: “Linear ODEs with periodic solutions” (893 words, Sep 29, 2021).",https://www.johndcook.com/blog/2021/09/29/linear-ode-periodic/
311,feature,"Heavyweight: “Proving that a choice was made in good faith” (893 words, Aug 14, 2019).",https://www.johndcook.com/blog/2019/08/14/good-faith/
312,feature,"Heavyweight: “Circular, hyperbolic, and elliptic functions” (892 words, Jul 09, 2023).",https://www.johndcook.com/blog/2023/07/09/jacobi-trig/
313,feature,"Heavyweight: “Regular expressions and special characters” (892 words, Aug 31, 2019).",https://www.johndcook.com/blog/2019/08/31/regex-special-characters/
314,feature,"Heavyweight: “Finding numbers in pi” (891 words, Oct 23, 2017).",https://www.johndcook.com/blog/2017/10/23/finding-numbers-in-pi/
315,feature,"Heavyweight: “Computing Fourier series coefficients with the FFT” (890 words, Mar 20, 2021).",https://www.johndcook.com/blog/2021/03/20/fourier-series-fft/
316,feature,"Heavyweight: “Enumerating monotone Boolean functions” (889 words, Jun 27, 2023).",https://www.johndcook.com/blog/2023/06/27/dedekind/
317,feature,"Heavyweight: “Spherical coordinate Rosetta Stone” (887 words, Aug 12, 2023).",https://www.johndcook.com/blog/2023/08/12/spherical-coordinate-rosetta-stone/
318,feature,"Heavyweight: “How many errors are left to find?” (887 words, Jul 13, 2010).",https://www.johndcook.com/blog/2010/07/13/lincoln-index/
319,feature,"Heavyweight: “Mentally calculating the day of the week” (884 words, May 07, 2022).",https://www.johndcook.com/blog/2022/05/07/day-of-the-week/
320,feature,"Heavyweight: “Gauss&#8217; golden theorem: quadratic reciprocity” (883 words, Jun 30, 2018).",https://www.johndcook.com/blog/2018/06/30/quadratic-reciprocity/
321,feature,"Heavyweight: “Partial functions and total functions” (881 words, Dec 06, 2021).",https://www.johndcook.com/blog/2021/12/06/partial-functions/
322,feature,"Heavyweight: “Silent Payments” (879 words, Sep 25, 2025).",https://www.johndcook.com/blog/2025/09/25/silent-payments/
323,feature,"Heavyweight: “How UTF-8 works” (879 words, Sep 09, 2019).",https://www.johndcook.com/blog/2019/09/09/how-utf-8-works/
324,feature,"Heavyweight: “Lessons Learned With the Z3 SAT/SMT Solver” (876 words, Mar 17, 2025).",https://www.johndcook.com/blog/2025/03/17/lessons-learned-with-the-z3-sat-smt-solver/
325,feature,"Heavyweight: “Numerical integral with a singularity” (875 words, Nov 26, 2023).",https://www.johndcook.com/blog/2023/11/26/numerical-integral-with-a-singularity/
326,feature,"Heavyweight: “Nephroids and evolutes” (873 words, Nov 04, 2022).",https://www.johndcook.com/blog/2022/11/04/nephroids-and-evolutes/
327,feature,"Heavyweight: “Frequently asked questions” (872 words, Oct 10, 2013).",https://www.johndcook.com/blog/2013/10/10/faq/
328,feature,"Heavyweight: “Kernel and Cokernel” (870 words, Apr 19, 2025).",https://www.johndcook.com/blog/2025/04/19/kernel-and-cokernel/
329,feature,"Heavyweight: “Direction between two cities” (870 words, Aug 24, 2022).",https://www.johndcook.com/blog/2022/08/24/direction-between-two-cities/
330,feature,"Heavyweight: “How to estimate ODE solver error” (870 words, Feb 19, 2020).",https://www.johndcook.com/blog/2020/02/19/fehlberg/
331,feature,"Heavyweight: “Why Food for the Hungry runs Ubuntu” (868 words, Feb 08, 2011).",https://www.johndcook.com/blog/2011/02/08/why-food-for-the-hungry-runs-ubuntu/
332,feature,"Heavyweight: “Python triple quote strings and regular expressions” (867 words, Jan 30, 2021).",https://www.johndcook.com/blog/2021/01/30/python-triple-quote-regex/
333,feature,"Heavyweight: “From tape measures to tensors” (867 words, Sep 26, 2020).",https://www.johndcook.com/blog/2020/09/26/tape-measures-and-tensors/
334,feature,"Heavyweight: “Logistic counterexamples” (865 words, Oct 27, 2021).",https://www.johndcook.com/blog/2021/10/27/logistic-counterexamples/
335,feature,"Heavyweight: “Turning the Golay problem sideways” (864 words, Jan 01, 2022).",https://www.johndcook.com/blog/2022/01/01/turning-the-golay-problem-sideways/
336,feature,"Heavyweight: “Fourier uncertainty principle” (864 words, Mar 17, 2021).",https://www.johndcook.com/blog/2021/03/17/fourier-uncertainty-principle/
337,feature,"Heavyweight: “Push versus Pull” (864 words, Sep 05, 2018).",https://www.johndcook.com/blog/2018/09/05/push-versus-pull/
338,feature,"Heavyweight: “How to compute log factorial” (864 words, Aug 16, 2010).",https://www.johndcook.com/blog/2010/08/16/how-to-compute-log-factorial/
339,feature,"Heavyweight: “Unit speed curve parameterization” (863 words, Jul 15, 2018).",https://www.johndcook.com/blog/2018/07/15/unit-speed-curve/
340,feature,"Heavyweight: “A connected topology for the integers” (861 words, Dec 20, 2020).",https://www.johndcook.com/blog/2020/12/20/a-connected-topology-for-the-integers/
341,feature,"Heavyweight: “Alphabets and Unicode” (861 words, Sep 27, 2020).",https://www.johndcook.com/blog/2020/09/27/alphabets-and-unicode/
342,feature,"Heavyweight: “How to memorize a Bitcoin address” (860 words, Nov 13, 2023).",https://www.johndcook.com/blog/2023/11/13/memorize-bitcoin/
343,feature,"Heavyweight: “How to memorize the ASCII table” (860 words, May 28, 2022).",https://www.johndcook.com/blog/2022/05/28/how-to-memorize-the-ascii-table/
344,feature,"Heavyweight: “Calculating where projective lines intersect” (860 words, Apr 27, 2022).",https://www.johndcook.com/blog/2022/04/27/projective-intersect/
345,feature,"Heavyweight: “Visualizing complex functions” (860 words, Nov 09, 2017).",https://www.johndcook.com/blog/2017/11/09/visualizing-complex-functions/
346,feature,"Heavyweight: “Daily tip Twitter account FAQ” (860 words, Sep 23, 2010).",https://www.johndcook.com/blog/2010/09/23/daily-tip-twitter-account-faq/
347,feature,"Heavyweight: “Set theory at the command line” (858 words, Nov 24, 2019).",https://www.johndcook.com/blog/2019/11/24/comm-set-theory/
348,feature,"Heavyweight: “Equation of a circle through three points” (856 words, Jun 18, 2023).",https://www.johndcook.com/blog/2023/06/18/circle-through-three-points/
349,feature,"Heavyweight: “Making an invertible function out of non-invertible parts” (855 words, Apr 04, 2020).",https://www.johndcook.com/blog/2020/04/04/feistel-networks/
350,feature,"Heavyweight: “Inside the AES S-box” (854 words, May 25, 2019).",https://www.johndcook.com/blog/2019/05/25/aes-s-box/
351,feature,"Heavyweight: “Unified theory of Fourier transforms” (853 words, Aug 26, 2017).",https://www.johndcook.com/blog/2017/08/26/unified-theory-of-fourier-transforms/
352,feature,"Heavyweight: “Running the Gregorian calendar backwards” (852 words, Apr 21, 2025).",https://www.johndcook.com/blog/2025/04/21/gregorian-backwards/
353,feature,"Heavyweight: “Logistic bifurcation diagram in detail” (852 words, Jan 11, 2020).",https://www.johndcook.com/blog/2020/01/11/logistic-bifurcation-diagram/
354,feature,"Heavyweight: “On greedy algorithms and rodeo clowns” (851 words, Apr 22, 2024).",https://www.johndcook.com/blog/2024/04/22/on-greedy-algorithms-and-rodeo-clowns/
355,feature,"Heavyweight: “Homomorphic encryption” (849 words, Jul 04, 2019).",https://www.johndcook.com/blog/2019/07/04/homomorphic-encryption/
356,feature,"Heavyweight: “Bitcoin key mechanism and elliptic curves over finite fields” (849 words, Aug 14, 2018).",https://www.johndcook.com/blog/2018/08/14/bitcoin-elliptic-curves/
357,feature,"Heavyweight: “Eigenvector centrality” (848 words, Jun 08, 2024).",https://www.johndcook.com/blog/2024/06/08/eigenvector-centrality/
358,feature,"Heavyweight: “Using a table of logarithms” (848 words, Jun 03, 2024).",https://www.johndcook.com/blog/2024/06/03/using-a-table-of-logarithms/
359,feature,"Heavyweight: “{div, grad, curl} of a {div, grad, curl}” (847 words, Dec 03, 2022).",https://www.johndcook.com/blog/2022/12/03/div-grad-curl/
360,feature,"Heavyweight: “Why care about spherical trig?” (846 words, Sep 07, 2009).",https://www.johndcook.com/blog/2009/09/07/why-spherical-trigonometry/
361,feature,"Heavyweight: “How areas of math are connected” (845 words, Mar 09, 2017).",https://www.johndcook.com/blog/2017/03/09/how-areas-of-math-are-connected/
362,feature,"Heavyweight: “Probability that a study result is true” (845 words, Nov 24, 2008).",https://www.johndcook.com/blog/2008/11/24/probability-that-a-study-result-is-true/
363,feature,"Heavyweight: “Random illustrations of Pascal&#8217;s theorem” (844 words, Oct 29, 2022).",https://www.johndcook.com/blog/2022/10/29/pascals-theorem/
364,feature,"Heavyweight: “Can you have confidence in a confidence interval?” (843 words, Apr 23, 2023).",https://www.johndcook.com/blog/2023/04/23/confidence-interval/
365,feature,"Heavyweight: “Confidence interval widths” (843 words, May 06, 2021).",https://www.johndcook.com/blog/2021/05/06/confidence-interval-widths/
